geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0042886	amide transport	http://amigo.geneontology.org/amigo/term/GO:0042886	290	21	8.354959313833296	2.513477230850224	1.0343139674211256e-4	0.038445000467318274	760;1131;2151;2281;3170;3553;3557;3814;4915;4923;5360;5799;6563;6616;7447;10630;55107;92745;154664;169026;282679	ABCA13;ANO1;AQP11;CA2;CHRM3;F2RL2;FKBP1B;FOXA2;IL1B;IL1RN;KISS1;NTRK2;NTSR1;PDPN;PLTP;PTPRN2;SLC14A1;SLC30A8;SLC38A5;SNAP25;VSNL1
GO:0003012	muscle system process	http://amigo.geneontology.org/amigo/term/GO:0003012	359	24	10.342863426435011	2.320440579217079	1.1760638961066022e-4	0.0415043563570163	154;1131;2281;2946;3363;3553;3759;4842;4846;5021;5142;5152;5733;6330;6331;6781;7111;7133;7169;8912;30845;55959;58529;92241	ADRB2;CACNA1H;CHRM3;EHD3;FKBP1B;GSTM2;HTR7;IL1B;KCNJ2;MYOZ1;NOS1;NOS3;OXTR;PDE4B;PDE9A;PTGER3;RCSD1;SCN4B;SCN5A;STC1;SULF2;TMOD1;TNFRSF1B;TPM2
GO:0000902	cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0000902	881	45	25.381790191334947	1.772924591243469	1.2656150412069462e-4	0.0415043563570163	367;547;575;577;658;1002;1010;1012;1272;3280;3676;4647;4684;4804;4897;4915;5454;5818;6616;6696;6781;7345;9378;9638;10319;10371;10439;10501;10509;10630;23105;23136;25830;26047;26053;50507;54873;55107;56978;59352;90249;219699;221061;284656;374946	ADGRB1;ADGRB3;ANO1;AR;AUTS2;BMPR1B;CDH12;CDH13;CDH4;CNTN1;CNTNAP2;DRAXIN;EPB41L3;EPHA10;FAM171A1;FEZ1;FSTL4;HES1;ITGA4;KIF1A;LAMC3;LGR6;MYO7A;NCAM1;NECTIN1;NGFR;NOX4;NRCAM;NRXN1;NTRK2;OLFM1;PALMD;PDPN;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;STC1;SULT4A1;UCHL1;UNC5A;UNC5B
GO:0003013	circulatory system process	http://amigo.geneontology.org/amigo/term/GO:0003013	501	30	14.433912469760282	2.0784385427618046	1.2668676503511223e-4	0.0415043563570163	153;154;367;1131;2281;2303;2784;2946;3363;3676;3759;4842;4846;4879;4923;4973;5021;5142;5742;6330;6331;6337;6781;8912;11138;28514;30845;50507;66002;92745	ADRB1;ADRB2;AR;CACNA1H;CHRM3;CYP4F12;DLL1;EHD3;FKBP1B;FOXC2;GNB3;GSTM2;HTR7;ITGA4;KCNJ2;NOS1;NOS3;NOX4;NPPB;NTSR1;OLR1;OXTR;PDE4B;PTGS1;SCN4B;SCN5A;SCNN1A;SLC38A5;STC1;TBC1D8
GO:0009617	response to bacterium	http://amigo.geneontology.org/amigo/term/GO:0009617	502	30	14.462722674290742	2.07429822693957	1.312190769440218e-4	0.0415043563570163	575;725;942;1440;2706;2919;2920;3553;3576;4129;4842;4846;5142;5266;6372;6376;6590;6700;7056;7133;7412;11005;54658;56300;64170;79812;81035;83872;84659;84868	ADGRB1;C4BPB;CARD9;CD86;COLEC12;CSF3;CX3CL1;CXCL1;CXCL2;CXCL6;CXCL8;GJB2;HAVCR2;HMCN1;IL1B;IL36G;MAOB;MMRN2;NOS1;NOS3;PDE4B;PI3;RNASE7;SLPI;SPINK5;SPRR2A;THBD;TNFRSF1B;UGT1A1;VCAM1
GO:0120039	plasma membrane bounded cell projection morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0120039	601	34	17.314932922806246	1.9636229693513356	1.359365981982052e-4	0.0415043563570163	547;575;577;658;1002;1272;3676;4684;4804;4897;4915;5454;5818;6616;6696;7345;9378;9638;10371;10439;10501;10509;10630;23105;23136;25830;26047;26053;56978;59352;90249;219699;284656;374946	ADGRB1;ADGRB3;AUTS2;BMPR1B;CDH4;CNTN1;CNTNAP2;DRAXIN;EPB41L3;EPHA10;FEZ1;FSTL4;ITGA4;KIF1A;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;NTRK2;OLFM1;PDPN;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;SULT4A1;UCHL1;UNC5A;UNC5B
GO:0032496	response to lipopolysaccharide	http://amigo.geneontology.org/amigo/term/GO:0032496	277	20	7.980426654937322	2.506131672499793	1.566503659751504e-4	0.04569508987116887	942;1440;2706;2919;2920;3553;3576;4129;4842;4846;5142;6372;6376;6590;7056;7133;7412;54658;56300;84868	CD86;CSF3;CX3CL1;CXCL1;CXCL2;CXCL6;CXCL8;GJB2;HAVCR2;IL1B;IL36G;MAOB;NOS1;NOS3;PDE4B;SLPI;THBD;TNFRSF1B;UGT1A1;VCAM1
GO:0007411	axon guidance	http://amigo.geneontology.org/amigo/term/GO:0007411	216	17	6.223004178579283	2.731799547639242	1.749502941835831e-4	0.04569508987116887	658;1002;1272;4684;4804;4897;5818;9378;9638;10371;10501;10509;59352;90249;219699;284656;374946	BMPR1B;CDH4;CNTN1;DRAXIN;EPHA10;FEZ1;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;SEMA3A;SEMA4B;SEMA6B;UNC5A;UNC5B
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	216	17	6.223004178579283	2.731799547639242	1.749502941835831e-4	0.04569508987116887	658;1002;1272;4684;4804;4897;5818;9378;9638;10371;10501;10509;59352;90249;219699;284656;374946	BMPR1B;CDH4;CNTN1;DRAXIN;EPHA10;FEZ1;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;SEMA3A;SEMA4B;SEMA6B;UNC5A;UNC5B
GO:0051926	negative regulation of calcium ion transport	http://amigo.geneontology.org/amigo/term/GO:0051926	42	7	1.210028590279305	5.7849872773536894	1.7629489659280894e-4	0.04569508987116887	2281;2946;3280;4842;4846;4923;6781	FKBP1B;GSTM2;HES1;NOS1;NOS3;NTSR1;STC1
GO:0048812	neuron projection morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048812	585	33	16.85396965031889	1.9579956938735565	1.7999222600502548e-4	0.04569508987116887	547;575;577;658;1002;1272;3676;4684;4804;4897;4915;5454;5818;6616;6696;7345;9378;9638;10371;10439;10501;10509;23105;23136;25830;26047;26053;56978;59352;90249;219699;284656;374946	ADGRB1;ADGRB3;AUTS2;BMPR1B;CDH4;CNTN1;CNTNAP2;DRAXIN;EPB41L3;EPHA10;FEZ1;FSTL4;ITGA4;KIF1A;LGR6;NCAM1;NECTIN1;NGFR;NRCAM;NRXN1;NTRK2;OLFM1;POU3F2;PRDM8;SEMA3A;SEMA4B;SEMA6B;SNAP25;SPP1;SULT4A1;UCHL1;UNC5A;UNC5B
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0040036	30	6	0.8643061359137894	6.9419847328244275	1.8173272378286834e-4	0.04569508987116887	4804;9982;10252;55959;64094;64399	FGFBP1;HHIP;NGFR;SMOC2;SPRY1;SULF2
GO:0034113	heterotypic cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0034113	56	8	1.61337145370574	4.95856052344602	1.871160836915583e-4	0.045704439985118056	3553;3557;3676;3932;4345;4897;7412;8631	CD200;IL1B;IL1RN;ITGA4;LCK;NRCAM;SKAP1;VCAM1
