NAME	TITLE	SCORE	
MAB21L2		2.1840935	
CCNDBP1		2.1840036	
PHGR1		2.1787167	
MAPK8IP3		2.1781235	
ALG1L		2.1754096	
TMEM19		2.1716447	
IKZF2		2.168641	
LDHB		2.163171	
CIB1		2.1601992	
ADAD2		2.159981	
TNFRSF10B		2.1571472	
MIPOL1		2.1554909	
PDCD7		2.14872	
RNF128		2.1461954	
FAM185A		2.14138	
EML2		2.1403642	
NACA2		2.1384969	
SPRED1		2.1255925	
RPL13A		2.1250525	
IDUA		2.1234972	
PDXDC2P-NPIPB14P		2.1223578	
CCDC125		2.11622	
VSIG1		2.1151323	
NELFA		2.1018894	
OCIAD1		2.1015637	
CYP20A1		2.0993211	
ZNF443		2.0988297	
SIGLEC15		2.0965035	
ZNF767P		2.0834656	
GANC		2.081198	
TMEM175		2.0806859	
CLK4		2.077886	
HCG4		2.069778	
CNKSR1		2.066966	
ZNF223		2.0667818	
SHC2		2.0665526	
LONRF1		2.0595074	
TMEM246		2.058884	
DUSP6		2.0560029	
GNPDA1		2.053383	
RPL27A		2.0492127	
HSD17B4		2.0365288	
FRY		2.035128	
D2HGDH		2.0335124	
ABCA10		2.032749	
MED23		2.031418	
ZFAS1		2.031008	
GOLGA7B		2.0291548	
ZNF264		2.0254261	
ACSBG1		2.0253737	
RPS14		2.0205326	
PLEK2		2.019131	
ERO1A		2.0170114	
CTF1		2.0164604	
FAAH2		2.0144126	
SEMA6A		2.0103676	
ACCS		2.001599	
DNM2		1.999053	
NOTCH3		1.9972758	
SLAIN1		1.9964417	
ZNF780A		1.9944785	
ZNF321P		1.9828166	
CCDC32		1.9815794	
CDH26		1.9778262	
DHRS2		1.9772599	
GOT2		1.9762937	
ZNF292		1.9726511	
GOLGA6L5P		1.9709748	
INF2		1.9700062	
TNNI2		1.9673594	
FHAD1		1.965749	
CLCA3P		1.9649612	
GMPR2		1.9609611	
SH3BP2		1.9558635	
CRHR1-IT1		1.9544725	
ZNF506		1.9532069	
CHD3		1.9525316	
PMPCB		1.9501016	
GABPB1-AS1		1.9489883	
SNORD116-28		1.9444528	
ABHD14B		1.9368862	
TIA1		1.935951	
ZNF737		1.9293908	
EAPP		1.9266435	
DUSP28		1.924905	
ZBTB48		1.9194275	
PTPRU		1.9172052	
PBX2		1.9169022	
UBA6-AS1		1.9086499	
STAT6		1.9061553	
MSMO1		1.8964263	
