NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	25		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	264	154		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	36		
KEGG_DILATED_CARDIOMYOPATHY	90	66		
KEGG_DNA_REPLICATION	36	36		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	22		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	35		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	28		
KEGG_ECM_RECEPTOR_INTERACTION	84	69		
KEGG_ENDOCYTOSIS	181	174		
KEGG_ENDOMETRIAL_CANCER	52	50		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	62		
KEGG_ERBB_SIGNALING_PATHWAY	87	84		
KEGG_ETHER_LIPID_METABOLISM	33	23		
KEGG_FATTY_ACID_METABOLISM	42	35		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	61		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	86		
KEGG_FOCAL_ADHESION	199	179		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	29		
KEGG_GALACTOSE_METABOLISM	26	20		
KEGG_GAP_JUNCTION	90	74		
KEGG_GLIOMA	65	62		
KEGG_GLUTATHIONE_METABOLISM	50	40		
KEGG_GLYCEROLIPID_METABOLISM	49	43		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	64		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	24		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	43		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	21		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	23		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15	15		
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	19		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	21		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	24		
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16		Rejected!	
KEGG_GNRH_SIGNALING_PATHWAY	101	83		
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	19		
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	46		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	49		
KEGG_HISTIDINE_METABOLISM	29	23		
KEGG_HOMOLOGOUS_RECOMBINATION	28	26		
KEGG_HUNTINGTONS_DISEASE	183	154		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	63		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	52		
KEGG_INSULIN_SIGNALING_PATHWAY	137	120		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	24		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	104		
KEGG_LEISHMANIA_INFECTION	72	54		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	93		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_LINOLEIC_ACID_METABOLISM	29		Rejected!	
KEGG_LONG_TERM_DEPRESSION	70	51		
KEGG_LONG_TERM_POTENTIATION	70	62		
KEGG_LYSINE_DEGRADATION	44	42		
KEGG_LYSOSOME	121	113		
KEGG_MAPK_SIGNALING_PATHWAY	267	228		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25		Rejected!	
KEGG_MELANOGENESIS	101	87		
KEGG_MELANOMA	71	54		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	38		
KEGG_MISMATCH_REPAIR	23	23		
KEGG_MTOR_SIGNALING_PATHWAY	52	48		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	87		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	127		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	122		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	22		
KEGG_NITROGEN_METABOLISM	23	16		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	55		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	52		
KEGG_NOTCH_SIGNALING_PATHWAY	47	44		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	43		
KEGG_N_GLYCAN_BIOSYNTHESIS	46	46		
KEGG_OLFACTORY_TRANSDUCTION	389	45		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	16		
KEGG_OOCYTE_MEIOSIS	113	99		
KEGG_OTHER_GLYCAN_DEGRADATION	16		Rejected!	
KEGG_OXIDATIVE_PHOSPHORYLATION	133	105		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	24		
KEGG_P53_SIGNALING_PATHWAY	68	66		
KEGG_PANCREATIC_CANCER	70	69		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16		Rejected!	
KEGG_PARKINSONS_DISEASE	131	103		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	52		
KEGG_PATHWAYS_IN_CANCER	325	290		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28	17		
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	22		
KEGG_PEROXISOME	78	72		
KEGG_PHENYLALANINE_METABOLISM	18		Rejected!	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	73		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	27		
KEGG_PPAR_SIGNALING_PATHWAY	69	52		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
KEGG_PRIMARY_IMMUNODEFICIENCY	35	19		
KEGG_PRION_DISEASES	35	28		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	74		
KEGG_PROPANOATE_METABOLISM	33	29		
KEGG_PROSTATE_CANCER	89	83		
KEGG_PROTEASOME	46	40		
KEGG_PROTEIN_EXPORT	24	24		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	16		
KEGG_PURINE_METABOLISM	159	133		
KEGG_PYRIMIDINE_METABOLISM	98	90		
KEGG_PYRUVATE_METABOLISM	40	33		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	179		
KEGG_REGULATION_OF_AUTOPHAGY	35	19		
KEGG_RENAL_CELL_CARCINOMA	70	65		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_RETINOL_METABOLISM	64	31		
KEGG_RIBOFLAVIN_METABOLISM	16		Rejected!	
KEGG_RIBOSOME	88	85		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	53		
KEGG_RNA_DEGRADATION	59	52		
KEGG_RNA_POLYMERASE	29	28		
KEGG_SELENOAMINO_ACID_METABOLISM	26	22		
KEGG_SMALL_CELL_LUNG_CANCER	84	81		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	37		
KEGG_SPHINGOLIPID_METABOLISM	39	33		
KEGG_SPLICEOSOME	127	125		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	30		
KEGG_STEROID_BIOSYNTHESIS	17	16		
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	28		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	29		
KEGG_TASTE_TRANSDUCTION	52	30		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15		Rejected!	
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	78		
KEGG_THYROID_CANCER	29	28		
KEGG_TIGHT_JUNCTION	132	112		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	80		
KEGG_TRYPTOPHAN_METABOLISM	40	30		
KEGG_TYPE_II_DIABETES_MELLITUS	47	37		
KEGG_TYPE_I_DIABETES_MELLITUS	43	25		
KEGG_TYROSINE_METABOLISM	42	27		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	84		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	127		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	43		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	86		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	40		
KEGG_VEGF_SIGNALING_PATHWAY	76	65		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	49		
KEGG_VIRAL_MYOCARDITIS	70	52		
KEGG_WNT_SIGNALING_PATHWAY	151	134		
