NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		24	-0.16102394	-0.9389342	0.52705413	0.72114456	1.0	14284	tags=75%, list=59%, signal=182%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE		15	-0.1985169	-0.92660075	0.50840336	0.7293019	1.0	6505	tags=47%, list=27%, signal=64%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE		28	-0.14367712	-0.9129861	0.57281554	0.73992294	1.0	12973	tags=68%, list=54%, signal=146%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		50	-0.10784162	-0.91191083	0.54844964	0.7273529	1.0	9029	tags=48%, list=37%, signal=76%	
KEGG_GLIOMA	KEGG_GLIOMA		62	-0.09601118	-0.9085784	0.5769231	0.7193487	1.0	6673	tags=37%, list=28%, signal=51%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		112	-0.06981392	-0.8610995	0.6422925	0.791737	1.0	8923	tags=44%, list=37%, signal=69%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		142	-0.06012885	-0.84336126	0.64811134	0.80670047	1.0	18186	tags=81%, list=75%, signal=322%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		16	-0.17536527	-0.84146637	0.62249	0.795834	1.0	6359	tags=44%, list=26%, signal=59%	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		61	-0.08811438	-0.83713824	0.65286	0.7891702	1.0	2242	tags=18%, list=9%, signal=20%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		133	-0.062052295	-0.8344572	0.6728016	0.7800631	1.0	5614	tags=29%, list=23%, signal=38%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM		31	-0.123885766	-0.81936526	0.672956	0.7914878	1.0	4822	tags=32%, list=20%, signal=40%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		29	-0.11897583	-0.7738221	0.7348485	0.8510461	1.0	2972	tags=24%, list=12%, signal=27%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION		22	-0.13186361	-0.7405621	0.78644764	0.88599986	1.0	8929	tags=50%, list=37%, signal=79%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		122	-0.057117447	-0.73707634	0.81312126	0.876743	1.0	20880	tags=92%, list=86%, signal=658%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		20	-0.12634578	-0.6979267	0.8634538	0.916255	1.0	6638	tags=40%, list=27%, signal=55%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		42	-0.09143481	-0.69124067	0.83778626	0.9098893	1.0	2406	tags=19%, list=10%, signal=21%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS		17	-0.1375131	-0.681443	0.8882235	0.9078123	1.0	15209	tags=76%, list=63%, signal=205%	
KEGG_MELANOMA	KEGG_MELANOMA		54	-0.074511975	-0.63674843	0.88957053	0.941074	1.0	4933	tags=28%, list=20%, signal=35%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		30	-0.097186185	-0.63118994	0.9244186	0.93198836	1.0	11386	tags=57%, list=47%, signal=107%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		58	-0.06979244	-0.6182402	0.9064449	0.9287297	1.0	4583	tags=26%, list=19%, signal=32%	
