NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		44	0.12344202	0.94882655	0.5325444	0.6675674	1.0	11795	tags=75%, list=63%, signal=200%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS		52	0.10353627	0.88779294	0.5774947	0.76513326	1.0	1313	tags=17%, list=7%, signal=19%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		73	0.08691268	0.8831943	0.5862069	0.7592796	1.0	4041	tags=30%, list=21%, signal=38%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		67	0.09042781	0.8587456	0.60749507	0.7890842	1.0	13751	tags=82%, list=73%, signal=304%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		23	0.14668795	0.83669406	0.67622954	0.81439996	1.0	16060	tags=100%, list=85%, signal=681%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		31	0.1255552	0.829578	0.6886228	0.81220824	1.0	12816	tags=81%, list=68%, signal=252%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		22	0.14435858	0.82658494	0.6918367	0.8036962	1.0	7550	tags=55%, list=40%, signal=91%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		53	0.094226025	0.8192864	0.70941883	0.8026078	1.0	11723	tags=72%, list=62%, signal=190%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		66	0.08515298	0.8034542	0.7246094	0.81544846	1.0	14369	tags=85%, list=76%, signal=358%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		70	0.077778965	0.78974426	0.7341513	0.82391375	1.0	6068	tags=40%, list=32%, signal=59%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		26	0.11786523	0.724168	0.84518826	0.9094702	1.0	13707	tags=85%, list=73%, signal=311%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		38	0.09903314	0.72160697	0.8185484	0.8987922	1.0	9529	tags=61%, list=51%, signal=122%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		52	0.08335247	0.7005298	0.8503119	0.9119374	1.0	968	tags=13%, list=5%, signal=14%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		68	0.06987765	0.6694554	0.8880309	0.93466955	1.0	8928	tags=54%, list=47%, signal=103%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE		17	0.13347849	0.66768897	0.8787879	0.9228871	1.0	6345	tags=47%, list=34%, signal=71%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		28	0.10123167	0.6431647	0.9307536	0.9335781	1.0	8850	tags=57%, list=47%, signal=108%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		22	0.112654544	0.63143075	0.9293893	0.93040925	1.0	10712	tags=68%, list=57%, signal=158%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		40	0.08015497	0.5964442	0.9583333	0.9460005	1.0	1787	tags=18%, list=9%, signal=19%	
