NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_GAP_JUNCTION	90	80		
KEGG_GLIOMA	65	65		
KEGG_GLUTATHIONE_METABOLISM	50	44		
KEGG_GLYCEROLIPID_METABOLISM	49	43		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	68		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	26		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	49		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	22		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	24		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15	15		
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	19		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	15		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	23		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	23		
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16		Rejected!	
KEGG_GNRH_SIGNALING_PATHWAY	101	89		
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	26		
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	52		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	68		
KEGG_HISTIDINE_METABOLISM	29	26		
KEGG_HOMOLOGOUS_RECOMBINATION	28	26		
KEGG_HUNTINGTONS_DISEASE	183	159		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	72		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	52		
KEGG_INSULIN_SIGNALING_PATHWAY	137	125		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	35		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	111		
KEGG_LEISHMANIA_INFECTION	72	61		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	105		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_LINOLEIC_ACID_METABOLISM	29	19		
KEGG_LONG_TERM_DEPRESSION	70	55		
KEGG_LONG_TERM_POTENTIATION	70	63		
KEGG_LYSINE_DEGRADATION	44	42		
KEGG_LYSOSOME	121	119		
KEGG_MAPK_SIGNALING_PATHWAY	267	236		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	16		
KEGG_MELANOGENESIS	101	94		
KEGG_MELANOMA	71	60		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	46		
KEGG_MISMATCH_REPAIR	23	23		
KEGG_MTOR_SIGNALING_PATHWAY	52	50		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	100		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	163		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	125		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	23		
KEGG_NITROGEN_METABOLISM	23	19		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	54		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	52		
KEGG_NOTCH_SIGNALING_PATHWAY	47	45		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	44		
KEGG_N_GLYCAN_BIOSYNTHESIS	46	46		
KEGG_OLFACTORY_TRANSDUCTION	389	38		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	17		
KEGG_OOCYTE_MEIOSIS	113	103		
KEGG_OTHER_GLYCAN_DEGRADATION	16		Rejected!	
KEGG_OXIDATIVE_PHOSPHORYLATION	133	109		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	26		
KEGG_P53_SIGNALING_PATHWAY	68	67		
KEGG_PANCREATIC_CANCER	70	69		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	15		
KEGG_PARKINSONS_DISEASE	131	107		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	55		
KEGG_PATHWAYS_IN_CANCER	325	301		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28	16		
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	25		
KEGG_PEROXISOME	78	74		
KEGG_PHENYLALANINE_METABOLISM	18	16		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	74		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	26		
KEGG_PPAR_SIGNALING_PATHWAY	69	57		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16		Rejected!	
KEGG_PRIMARY_IMMUNODEFICIENCY	35	29		
KEGG_PRION_DISEASES	35	27		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	79		
KEGG_PROPANOATE_METABOLISM	33	31		
KEGG_PROSTATE_CANCER	89	85		
KEGG_PROTEASOME	46	40		
KEGG_PROTEIN_EXPORT	24	24		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	19		
KEGG_PURINE_METABOLISM	159	141		
KEGG_PYRIMIDINE_METABOLISM	98	92		
KEGG_PYRUVATE_METABOLISM	40	35		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	191		
KEGG_REGULATION_OF_AUTOPHAGY	35	19		
KEGG_RENAL_CELL_CARCINOMA	70	68		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_RETINOL_METABOLISM	64	37		
KEGG_RIBOFLAVIN_METABOLISM	16		Rejected!	
KEGG_RIBOSOME	88	87		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	50		
KEGG_RNA_DEGRADATION	59	50		
KEGG_RNA_POLYMERASE	29	28		
KEGG_SELENOAMINO_ACID_METABOLISM	26	24		
KEGG_SMALL_CELL_LUNG_CANCER	84	82		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	37		
KEGG_SPHINGOLIPID_METABOLISM	39	34		
KEGG_SPLICEOSOME	127	124		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	31		
KEGG_STEROID_BIOSYNTHESIS	17	17		
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	34		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	40		
KEGG_TASTE_TRANSDUCTION	52	32		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15		Rejected!	
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	83		
KEGG_THYROID_CANCER	29	27		
KEGG_TIGHT_JUNCTION	132	115		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	79		
KEGG_TRYPTOPHAN_METABOLISM	40	34		
KEGG_TYPE_II_DIABETES_MELLITUS	47	42		
KEGG_TYPE_I_DIABETES_MELLITUS	43	33		
KEGG_TYROSINE_METABOLISM	42	35		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	97		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	127		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	43		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	94		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	40		
KEGG_VEGF_SIGNALING_PATHWAY	76	68		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	53		
KEGG_VIRAL_MYOCARDITIS	70	57		
KEGG_WNT_SIGNALING_PATHWAY	151	140		
